FullAddress,CommunityName ,PropertyID,CountyState,Risk,HousingCompany,PrivateEquityFirm,Units,YearAcquired,Fannie/Freddie,PropertyType,Latitude,Longitude,,
"1110 E Coleman Rd Lansing,MI 48906",Kristana Estates,MI-Kristana Estates-1110,"Ingham, MI",Relatively Moderate,TIR Equities,TIR Equities,165,N/A,N/A,Manufactured Housing,42.722153,-84.522895,,
"1700 Sandstone Dr Loveland,CO 80537",Sunset Mobile Home Park,CO-Sunset Mobile Home Park-1700,"Larimer, CO",Relatively Moderate,Legacy Communities,Legacy Communities,165,N/A,N/A,Manufactured Housing,40.404926,-105.051624,,
"16005 N 32nd St Phoenix,AZ 85032",Paradise Valley Ranch Mobile Home Park,AZ-Paradise Valley Ranch Mobile Home Park-16005,"Maricopa, AZ",Very High,Treehouse Communities,The Blackstone Group,164,2019,Fannie Mae,Manufactured Housing,33.632058,-112.010865,,
"1001 Gibraltar Ave Fargo,ND 58102",Riviera Heights,ND-Riviera Heights-1001,"Cass, ND",Relatively Moderate,Open Management,Open Capital,164,2024,Fannie Mae,Manufactured Housing,46.923679,-96.791715,,
"4689 Burkhardt Ave Dayton,OH 45431",Woods Mobile Home Park,OH-Woods Mobile Home Park-4689,"Montgomery, OH",Relatively Moderate,Impact Communities,MHP Funds,164,N/A,Fannie Mae,Manufactured Housing,39.760087,-84.13152,,
"24 Erin Ln Scottsbluff,NE 69361",Scottlbuff Estates,NE-Scottlbuff Estates-24,"Scotts Bluff, NE",Relatively Low,Open Management,Open Capital,164,N/A,N/A,Manufactured Housing,41.855434,-103.641125,,
"164 Bonny Shores Drive Lakeland,FL 33801",Bonny Shores,FL-Bonny Shores-164,"Polk, FL",Relatively High,Legacy Communities,Legacy Communities,164,N/A,Freddie Mac,Manufactured Housing,28.032636,-81.921804,,
"235 W Southern Ave Mesa,AZ",Fiesta Village MH & RV Resort,AZ-Fiesta Village MH & RV Resort-235,"Maricopa, AZ",Very High,Bridge Investment Group,,164,2025,N/A,Manufactured Housing,33.392359,-111.836756,,
"1022 Samuel St Pocatello,ID 83204",The Flamingo,ID-The Flamingo-1022,"Bannock, ID",Relatively Low,Inspire Communities,Apollo Global Management,163,N/A,Freddie Mac,Manufactured Housing,42.837767,-112.403534,,
"11620 Rabbit Run Rd Ottumwa,IA 52501",Valley Village,IA-Valley Village-11620,"Wapello, IA",Relatively Low,Inspire Communities,Apollo Global Management,163,2021,No,Manufactured Housing,40.983351,-92.380777,,
"13740 Pennsylvania Ave Hagerstown,MD 21742",Northaven,MD-Northaven-13740,"Washington, MD",Relatively Low,Horizon Land Company,Federal Capital Partners,163,N/A,Fannie Mae,Manufactured Housing,39.691703,-77.721866,,
"2701 E Main st Reedsburg,WI 53959",Courtyard MHP,WI-Courtyard MHP-2701,"Sauk, WI",Relatively Low,Impact Communities,MHP Funds,163,N/A,No,Manufactured Housing,43.533672,-89.968046,,
"751 10th St E Palmetto,FL 34221",Palm Bay,FL-Palm Bay-751,"Manatee, FL",Relatively High,Kingsley Management,Kingsley Management,163,2015,N/A,Manufactured Housing,27.518253,-82.558104,,
"687 10th St Plainwell,MI 49080","Gun River MHC, East Park","MI-Gun River MHC, East Park-687","Allegan, MI",Relatively Low,MHC Capital,MHC Capital,163,N/A,N/A,Manufactured Housing,42.47182,-85.641182,,
"9429 SE 29th St Midwest City,OK 73110",Village Oaks,OK-Village Oaks-9429,"Oklahoma, OK",Relatively High,Yes! Communities,Stockbridge Capital Group,162,2016,Fannie Mae,Manufactured Housing,35.438545,-97.359117,,
"2345 E Main St Mesa,AZ 85213",Glenhaven Estates,AZ-Glenhaven Estates-2345,"Maricopa, AZ",Very High,Treehouse Communities,The Blackstone Group,162,2018,Fannie Mae,Manufactured Housing,33.413877,-111.780582,,
"156 Delaney Lane Princeton,WV 24739",Delaney Mobile Home Park,WV-Delaney Mobile Home Park-156,"Mercer, WV",Relatively Low,Homes of America,Alden Global Capital,162,2021,No,Manufactured Housing,37.352119,-81.150082,,
"181 Yukon St Princeton,WV 24740",Shadow Wood,WV-Shadow Wood-181,"Mercer, WV",Relatively Low,Homes of America,Alden Global Capital,162,2021,No,Manufactured Housing,37.371084,-81.058175,,
"800 Washington Ave Princeton,WV 24740",Country Roads,WV-Country Roads-800,"Mercer, WV",Relatively Low,Homes of America,Alden Global Capital,162,2021,No,Manufactured Housing,37.377213,-81.092977,,
"4192 Linden Road Flint Township,MI 48507",Linden Place,MI-Linden Place-4192,"Genesee, MI",Relatively Moderate,Cambio Communities,Silver Creek Capital,162,N/A,Fannie Mae,Manufactured Housing,42.96665,-83.771906,,
"1558 W Shawnee Rd Baroda,MI 49101",Shawnee Community,MI-Shawnee Community-1558,"Berrien, MI",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,161,2018,Freddie Mac,Manufactured Housing,41.942864,-86.488623,,
"1802 Tray Lane Kalamazoo,MI 49006",Americana Estates,MI-Americana Estates-1802,"Kalamazoo, MI",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,161,2018,Fannie Mae,Manufactured Housing,42.274743,-85.643258,,
"400 N. Carson Birmingham,AL 35215",Carson Village,AL-Carson Village-400,"Jefferson, AL",Relatively High,Inspire Communities,Apollo Global Management,161,2021,No,Manufactured Housing,33.65882,-86.720701,,
"501 East 63d St N Wichita,KS 67219",Navajo Lake Estates,KS-Navajo Lake Estates-501,"Sedgwick, KS",Relatively High,RHP Properties (RHP),RHP Properties,161,2024,No,Manufactured Housing,37.800166,-97.334022,,
"7400 46th Ave N St. Petersburg,FL 33709",Isles of Palms,FL-Isles of Palms-7400,"Pinellas, FL",Relatively High,Havenpark Communities,Havenpark Capital Partners,161,2023,Fannie Mae,Manufactured Housing,27.812127,-82.742188,,
"3501 Auburn Rd. Auburn Hills,MI 48326",College Heights,MI-College Heights -3501,"Oakland, MI",Relatively High,RHP Properties (RHP),RHP Properties,161,2006,No,Manufactured Housing,42.637734,-83.216457,,
"20179 West Good Hope Road, Box C-4 Lannon,WI 53046",Lannon Estates,WI-Lannon Estates -20179,"Waukesha, WI",Relatively Moderate,RHP Properties (RHP),RHP Properties,161,N/A,Fannie Mae,Manufactured Housing,43.146217,-88.160346,,
"5655 Blueridge Ave Kimball,MI 48074",Somerset Meadows,MI-Somerset Meadows-5655,"St. Clair, MI",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,160,2015,Fannie Mae,Manufactured Housing,42.960914,-82.549227,,
"3900 Route 104 Williamson,NY 14589",Whispering Woods Estates,NY-Whispering Woods Estates-3900,"Wayne, NY",Relatively Low,Horizon Land Company,Federal Capital Partners,160,N/A,Fannie Mae,Manufactured Housing,43.232535,-77.195406,,
"1540 Torun Rd Stevens Point,WI 54481",Recreacres,WI-Recreacres-1540,"Portage, WI",Relatively Low,MHC Capital,MHC Capital,160,N/A,N/A,Manufactured Housing,44.570509,-89.531478,,
"302 Forrest Ave Springfield,IL 62702",Forrest Park,IL-Forrest Park-302,"Sangamon, IL",Relatively Moderate,Cambio Communities,Silver Creek Capital,160,N/A,No,Manufactured Housing,39.805203,-89.617568,,
"3101 River Rd Sodus,MI 49126",Meadow Streams,MI-Meadow Streams-3101,"Berrien, MI",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,159,2021,Freddie Mac,Manufactured Housing,42.055214,-86.399472,,
"862 Powell Dr Thomasville,GA 31757",Twin Oaks Mobile Home Park,GA-Twin Oaks Mobile Home Park-862,"Thomas, GA",Relatively Low,Homes of America,Alden Global Capital,159,2021,No,Manufactured Housing,30.82652,-83.93043,,
"4440 Tuttle Creek Blvd Manhattan,KS 66502",Riverchase,KS-Riverchase-4440,"Riley, KS",Relatively Low,RHP Properties (Brookfield),Brookfield Corporation,159,2017,No,Manufactured Housing,39.242188,-96.592627,,
"4004 Highland Circle Indianapolis,IN 46221",Deerfield Acres,IN-Deerfield Acres-4004,"Marion, IN",Relatively High,Horizon Land Company,Federal Capital Partners,159,N/A,No,Manufactured Housing,39.705105,-86.234137,,
"30802 Pacific Coast Hwy Laguna Beach,CA 92651",Laguna Terrace,CA-Laguna Terrace-30802,"Orange, CA",Very High,Hometown America,Calzada Capital Partners,158,N/A,No,Manufactured Housing,33.518917,-117.756363,,
"120 Crestwood Drive Felton,DE 19943",Canterbury Crossing MHC,DE-Canterbury Crossing MHC-120,"Kent, DE",Relatively Moderate,Horizon Land Company,Federal Capital Partners,158,2012,No,Manufactured Housing,39.0551,-75.554866,,
"10885 North Suncoast Blvd Naples,FL 34449",Gulf Coast RV Resort,FL-Gulf Coast RV Resort-10885,"Citrus, FL",Relatively High,Treehouse Communities,The Blackstone Group,158,N/A,No,Manufactured Housing,29.021142,-82.665261,,
"3435 W St Joseph Street Lansing,MI 48917",Park Terrace,MI-Park Terrace-3435,"Ingham, MI",Relatively Moderate,Cambio Communities,Silver Creek Capital,158,N/A,Freddie Mac,Manufactured Housing,42.724485,-84.598366,,
"4522 West Loop 281 Longview,TX 75604",Western Villa Homes,TX-Western Villa Homes-4522,"Gregg, TX",Relatively Moderate,Inspire Communities,Apollo Global Management,157,2021,Freddie Mac,Manufactured Housing,32.484587,-94.766248,,
"6123 N Dewey Rd Amherst,OH 44001",Amherst Village Estates,OH-Amherst Village Estates-6123,"Lorain, OH",Relatively Moderate,Horizon Land Company,Federal Capital Partners,157,N/A,Fannie Mae,Manufactured Housing,41.413711,-82.203742,,
"17701 Kenyon Rd Lakeville,MN 55044",Queen Ann Courts,MN-Queen Ann Courts-17701,"Dakota, MN",Relatively Moderate,Riverstone Communities,Riverstone Capital Partners,157,2020,Fannie Mae,Manufactured Housing,44.695037,-93.293315,,
"2952 Skyline Drive Indianapolis,IN 46241",Skyway,IN-Skyway -2952,"Marion, IN",Relatively High,RHP Properties (RHP),RHP Properties,157,N/A,Fannie Mae,Manufactured Housing,39.722717,-86.244539,,
"725 S 12th St Bismark,ND 58504",Starcrest Terrace,ND-Starcrest Terrace-725,"Burleigh, ND",Relatively Moderate,Open Management,Open Capital,157,N/A,Fannie Mae,Manufactured Housing,46.796427,-100.770536,,
"63 Sullivan Kilrain Rd Hattiesburg,MS 39402",Bellecrest,MS-Bellecrest-63,"Forrest, MS",Relatively Low,Sunrise Communities,Sunrise Communities,157,N/A,Fannie Mae,Manufactured Housing,31.248043,-89.329873,,
"6801 West 70th St Shreveport,LA 71129",Stonegate,LA-Stonegate-6801,"Caddo, LA",Relatively Moderate,Homes of America,Alden Global Capital,157,N/A,N/A,Manufactured Housing,32.442141,-93.884848,,
"1901 Constitution  Pueblo,CO 81001",Pueblo Pointe MHC,CO-Pueblo Pointe MHC-1901,"Pueblo, CO",Relatively Moderate,Horizon Land Company,Federal Capital Partners,156,N/A,No,Manufactured Housing,38.291625,-104.573105,,
"24303 Woolsey Canyon Road West Hills,CA 91304",Mountain View Village,CA-Mountain View Village-24303,"Los Angeles, CA",Very High,Cove Communities,Montgomery Street Partners,156,N/A,No,Manufactured Housing,34.237273,-118.657211,,
"3401 N. Meadowview Place Muncie,IN 47303",Meadowview Farms,IN-Meadowview Farms -3401,"Delaware, IN",Relatively Low,RHP Properties (RHP),RHP Properties,156,N/A,No,Manufactured Housing,40.220608,-85.356772,,
"6148 S Division Ave Grand Rapids,MI 49548",Green Meadow,MI-Green Meadow-6148,"Kent, MI",Relatively Moderate,Cambio Communities,Silver Creek Capital,156,N/A,Freddie Mac,Manufactured Housing,42.851581,-85.660478,,
"6750 Mangrove Dr Merritt Island,FL 32953",Colony Park Mobile Home Park,FL-Colony Park Mobile Home Park-6750,"Brevard, FL",Relatively High,Homes of America,Alden Global Capital,155,2021,No,Manufactured Housing,28.479598,-80.707653,,
"300 East Prosser Rd Cheyenne,WY 82007",Cimmaron Village,WY-Cimmaron Village-300,"Laramie, WY",Relatively Low,RHP Properties (Brookfield),Brookfield Corporation,155,2017,Fannie Mae,Manufactured Housing,41.106685,-104.79425,,
"4285 E 29th St Des Moines,IA 50317",Stover Heights,IA-Stover Heights-4285,"Polk, IA",Relatively Moderate,Horizon Land Company,Federal Capital Partners,155,2021,No,Manufactured Housing,41.63832,-93.561312,,
"2401 Veterans Memorial Dr. Mount Vernon,IL 62864",Oak Grove Village,IL-Oak Grove Village -2401,"Jefferson, IL",Relatively Low,RHP Properties (RHP),RHP Properties,155,N/A,No,Manufactured Housing,38.299845,-88.923792,,
"4801 Sunset Blvd Lexington,SC 29072",Victorian Lakes,SC-Victorian Lakes-4801,"Lexington, SC",Relatively Moderate,Inspire Communities,Apollo Global Management,154,N/A,Fannie Mae,Manufactured Housing,34.012429,-81.177787,,
"1430 Frontier Valley Dr Austin,TX 78741",Frontier Valley,TX-Frontier Valley-1430,"Travis, TX",Relatively High,Horizon Land Company,Federal Capital Partners,154,2021,No,Manufactured Housing,30.226466,-97.693811,,
"2601 Colley Road, Beloit,WI 53511",Springbrook Village,WI-Springbrook Village -2601,"Rock, WI",Relatively Moderate,RHP Properties (RHP),RHP Properties,154,N/A,No,Manufactured Housing,42.508136,-88.990429,,
"6615 Cleveland Rd Ravenna,OH 44266",Pine Gate MHC,OH-Pine Gate MHC-6615,"Portage, OH",Relatively Low,Horizon Land Company,Federal Capital Partners,153,N/A,Fannie Mae,Manufactured Housing,41.170397,-81.259814,,
"1046 Montclair Avenue Mounds View,MN 55112",Mounds View Manufactured Home Community,MN-Mounds View Manufactured Home Community-1046,"Ramsey, MN",Relatively High,Riverstone Communities,Riverstone Capital Partners,153,2016,Freddie Mac,Manufactured Housing,45.103857,-93.18968,,
"2727 E University Dr Tempe,AZ 85281",Sage Point,AZ-Sage Point-2727,"Maricopa, AZ",Very High,The Carlyle Group,The Carlyle Group,153,2018,Fannie Mae,Manufactured Housing,33.420448,-111.880223,,
"16101 N El Mirage Rd El Mirage,AZ 85335",Coppersun,AZ-Coppersun-16101,"Maricopa, AZ",Very High,The Carlyle Group,The Carlyle Group,153,2020,No,Manufactured Housing,33.628452,-112.322606,,
"3016 Ardmore Ave Mounds View,MN",3016 Ardmore,MN-3016 Ardmore-3016,"Ramsey, MN",Relatively High,Riverstone Communities,Riverstone Capital Partners,153,2016,N/A,Manufactured Housing,45.103065,-93.189018,,
"840 N Idaho Rd Apache Junction,AZ 85119",Sunhaven RV Resort,AZ-Sunhaven RV Resort-840,"Pinal, AZ",Relatively Moderate,Treehouse Communities,The Blackstone Group,152,2018,Fannie Mae,Manufactured Housing,33.422946,-111.546301,,
"1005 River Rd San Marcos,TX 78666",River Ridge MHC,TX-River Ridge MHC-1005,"Hays, TX",Relatively Moderate,Horizon Land Company,Federal Capital Partners,152,2021,No,Manufactured Housing,29.875026,-97.919995,,
"6488 Hwy. 36 Blvd. N. Oakdale,MN 55128",Twenty-Nine Pines,MN-Twenty-Nine Pines -6488,"Washington, MN",Relatively Moderate,RHP Properties (RHP),RHP Properties,152,2018,No,Manufactured Housing,45.026168,-92.975262,,
"2700 W Lakeview Rd Stillwater,OK 74075",Park West Mobile Home Park,OK-Park West Mobile Home Park-2700,"Payne, OK",Relatively Moderate,Homes of America,Alden Global Capital,151,2022,No,Manufactured Housing,36.141011,-97.093857,,
"51555 Monroe Indio,CA 92201",Palmdale Estates,CA-Palmdale Estates-51555,"Riverside, CA",Very High,Treehouse Communities,The Blackstone Group,151,2018,No,Manufactured Housing,33.673774,-116.237551,,
"5112 16th Ave W Williston,ND 58801",Springbrook Meadows,ND-Springbrook Meadows-5112,"Williams, ND",Relatively Low,Inspire Communities,Apollo Global Management,151,2016,Fannie Mae,Manufactured Housing,48.192092,-103.645425,,
"5380 Sands Rd Lothian,MD 20711",Patuxent,MD-Patuxent-5380,"Anne Arundel, MD",Relatively Moderate,Horizon Land Company,Federal Capital Partners,151,2017,Fannie Mae,Manufactured Housing,38.81721,-76.695976,,
"7115 Belhaven Blvd  Charlotte,NC 28216",Belhaven Estates,NC-Belhaven Estates-7115,"Mecklenburg, NC",Relatively High,Horizon Land Company,Federal Capital Partners,151,N/A,No,Manufactured Housing,35.29533,-80.920071,,
"3022 St Route 59 Ravenna,OH 44266",Village Estates,OH-Village Estates-3022,"Portage, OH",Relatively Low,Horizon Land Company,Federal Capital Partners,151,N/A,Fannie Mae,Manufactured Housing,41.155271,-81.285726,,
"1301 N. East Blvd. Vineland,NJ 08360",Vineland Hills,NJ-Vineland Hills -1301,"Cumberland, NJ",Relatively Moderate,RHP Properties (RHP),RHP Properties,151,N/A,No,Manufactured Housing,39.467329,-75.02722,,
"675 Parlanti Ln Sparks,NV",Sierra Royal Mobile Home Park,NV-Sierra Royal Mobile Home Park-675,"Washoe, NV",Relatively High,The Carlyle Group,The Carlyle Group,151,N/A,N/A,Manufactured Housing,39.538921,-119.727441,,
"1410 W Flamingo Ave Nampa,ID 83651",Karcher Mobile Home Park,ID-Karcher Mobile Home Park-1410,"Canyon, ID",Relatively Low,The Carlyle Group,The Carlyle Group,151,N/A,N/A,Manufactured Housing,43.598986,-116.601107,,
"1410 W Flamingo Ave Nampa,ID 83651",Willow Side,ID-Willow Side-1410,"Canyon, ID",Relatively Low,The Carlyle Group,The Carlyle Group,151,2019,N/A,Manufactured Housing,43.598986,-116.601107,,
"3052 North Gary Street New Castle,IN 47362",Golden Pebble,IN-Golden Pebble-3052,"Henry, IN",Relatively Low,Inspire Communities,Apollo Global Management,150,2021,No,Manufactured Housing,39.975856,-85.394538,,
"7333 Pine Forest Rd Pensacola,FL 32526",Silver Lake,FL-Silver Lake-7333,"Escambia, FL",Relatively High,Inspire Communities,Apollo Global Management,150,2022,Fannie Mae,Manufactured Housing,30.498432,-87.308393,,
"916 Georgia Highway 16 East Newnan,GA 30263",Coweta Hills,GA-Coweta Hills-916,"Coweta, GA",Relatively Low,Inspire Communities,Apollo Global Management,150,2015,Fannie Mae,Manufactured Housing,33.408316,-84.838861,,
"1 Hibiscus Ave Mt Dora,FL 32757",Hibiscus Estates,FL-Hibiscus Estates-1,"Lake, FL",Relatively Moderate,Inspire Communities,Apollo Global Management,150,2021,Fannie Mae,Manufactured Housing,28.805735,-81.684112,,
"660 Jeffco Blvd Arnold,MO 63010",Jeffco Estates,MO-Jeffco Estates-660,"Jefferson, MO",Relatively Moderate,Horizon Land Company,Federal Capital Partners,150,N/A,No,Manufactured Housing,38.450118,-90.365556,,
"600 Linden Ave Rochester,NY 14625",Penfield Farms,NY-Penfield Farms-600,"Monroe, NY",Relatively Moderate,Windward Communities,Green Courte Partners,150,2020,No,Manufactured Housing,43.124374,-77.511279,,
"3101 Highway 31 East Tyler,TX 75702",Glascow Trails,TX-Glascow Trails-3101,"Smith, TX",Relatively Moderate,Impact Communities,MHP Funds,150,N/A,Freddie Mac,Manufactured Housing,32.347923,-95.25902,,
"3205 Douglas Ave Kalamazoo,MI 49004",Hillcrest Acres,MI-Hillcrest Acres-3205,"Kalamazoo, MI",Relatively Moderate,Cambio Communities,Silver Creek Capital,150,N/A,No,Manufactured Housing,42.321853,-85.604039,,
"5 Centre Blvd Greenville,SC",Sunbelt Mobile Home Park,SC-Sunbelt Mobile Home Park-5,"Greenville, SC",Relatively Moderate,Riverstone Communities,Riverstone Capital Partners,150,N/A,N/A,Manufactured Housing,34.857132,-82.384384,,
"2600 E Allred Ave Mesa,AZ",Imperial Broadmoor,AZ-Imperial Broadmoor-2600,"Maricopa, AZ",Very High,The Carlyle Group,The Carlyle Group,150,N/A,N/A,Manufactured Housing,33.413166,-111.776976,,
"320 S Windsor Mesa,AZ",Broadmoor,AZ-Broadmoor-320,"Maricopa, AZ",Very High,The Carlyle Group,The Carlyle Group,150,N/A,N/A,Manufactured Housing,33.40962,-111.774873,,
"4500 14th St Plano,TX 75074",Cottonwood Grove,TX-Cottonwood Grove-4500,"Collin, TX",Relatively High,Yes! Communities,Stockbridge Capital Group,149,N/A,Fannie Mae,Manufactured Housing,33.012645,-96.649081,,
"9800 Base Line Rd Rancho Cucamonga,CA 91701",Ramona Villa Estates,CA-Ramona Villa Estates-9800,"San Bernardino, CA",Very High,Hometown America,Calzada Capital Partners,149,N/A,Fannie Mae,Manufactured Housing,34.122714,-117.590359,,
"18 Ledgewood Way Manchester,NH 3104",Ledgewood,NH-Ledgewood-18,"Hillsborough, NH",Relatively Moderate,Hometown America,Calzada Capital Partners,149,2017,Fannie Mae,Manufactured Housing,42.998658,-71.406174,,
"9400 Carson Creek Blvd Del Valle,TX 78617",The Meadows at Carson Creek,TX-The Meadows at Carson Creek-9400,"Travis, TX",Relatively High,Impact Communities,MHP Funds,149,N/A,No,Manufactured Housing,30.225044,-97.669987,,
"862 Henderson Avenue Washington,PA 15301",Washington Estates II,PA-Washington Estates II -862,"Washington, PA",Relatively Moderate,RHP Properties (RHP),RHP Properties,149,N/A,Freddie Mac,Manufactured Housing,40.194729,-80.267773,,
"5900 W. CR 350 N Muncie,IN 47304",Countryview Farms,IN-Countryview Farms-5900,"Delaware, IN",Relatively Low,RHP Properties (RHP),RHP Properties,149,N/A,No,Manufactured Housing,40.241461,-85.45362,,
"4989 N II Route 251 Davis Junction,IL 61020",Rolling Meadows,IL-Rolling Meadows-4989,"Ogle, IL",Relatively Low,Sunrise Communities,Sunrise Communities,149,N/A,N/A,Manufactured Housing,42.092792,-89.076156,,
"1200 Church St Layton,UT 84041",Coppercrest/ Country Village,UT-Coppercrest/ Country Village-1200,"Davis, UT",Relatively Moderate,The Carlyle Group,The Carlyle Group,149,2012,N/A,Manufactured Housing,41.076514,-111.957475,,
"8545 Mission Gorge Rd Santee,CA 92071",Mission Gorge Villa,CA-Mission Gorge Villa-8545,"San Diego, CA",Very High,Hometown America,Calzada Capital Partners,148,2017,Freddie Mac,Manufactured Housing,32.83301,-117.011404,,
"3559 Cossell Rd Indianapolis,IN 46222",Pondarosa Mobile Home Park,IN-Pondarosa Mobile Home Park-3559,"Marion, IN",Relatively High,Homes of America,Alden Global Capital,148,2022,No,Manufactured Housing,39.765593,-86.216881,,
"730 Allen Rd Manhattan,KS 66502",Blue Valley,KS-Blue Valley-730,"Riley, KS",Relatively Low,RHP Properties (Brookfield),Brookfield Corporation,148,2017,No,Manufactured Housing,39.204284,-96.565332,,
"700 West Alta Vista Ave Ottumwa,IA 52501",Leisure Living,IA-Leisure Living-700,"Wapello, IA",Relatively Low,Inspire Communities,Apollo Global Management,148,2021,No,Manufactured Housing,41.037432,-92.41608,,
"730 Allen Road Manhattan,KS 66502",Blue Valley,KS-Blue Valley -730,"Riley, KS",Relatively Low,RHP Properties (RHP),RHP Properties,148,N/A,No,Manufactured Housing,39.204284,-96.565332,,
"16751 Turner Rd Lansing,MI 48906",Valley Estates,MI-Valley Estates-16751,"Clinton, MI",Relatively Low,Cambio Communities,Silver Creek Capital,148,N/A,Fannie Mae,Manufactured Housing,42.773064,-84.555085,,
"201 W Collins Ave Orange,CA 92867",Carriage Mobile Estates,CA-Carriage Mobile Estates-201,"Orange, CA",Very High,Hometown America,Calzada Capital Partners,147,2019,No,Manufactured Housing,33.805582,-117.853589,,
"2 Tina Lane Naples,FL 34104",Endless Summer RV Resort,FL-Endless Summer RV Resort-2,"Collier, FL",Relatively High,Treehouse Communities,The Blackstone Group,147,2019,No,Manufactured Housing,26.154524,-81.734923,,
"63 Manor Hill Drive Eden,WI 53019",Manor Hill,WI-Manor Hill -63,"Fond Du Lac, WI",Relatively Low,RHP Properties (RHP),RHP Properties,147,N/A,Fannie Mae,Manufactured Housing,43.692094,-88.370775,,
"201 N Shady Shores Rd Lake Dallas,TX 75065",Lake Haven Estates,TX-Lake Haven Estates-201,"Denton, TX",Relatively High,Kingsley Management,Kingsley Management,147,N/A,N/A,Manufactured Housing,33.125554,-97.032551,,
"925 West 1st St Craig,CO 81625",Cedar Mountain Village,CO-Cedar Mountain Village-925,"Moffat, CO",Very Low,Impact Communities,MHP Funds,146,N/A,Freddie Mac,Manufactured Housing,40.506726,-107.559332,,
"5400 Freidrich Lane Austin,TX 78744",Paisano,TX-Paisano -5400,"Travis, TX",Relatively High,RHP Properties (RHP),RHP Properties,146,N/A,No,Manufactured Housing,30.20007,-97.756669,,
"2445 Eber Boulevard Melbourne,FL 32904",Quail Run Estates,FL-Quail Run Estates-2445,"Brevard, FL",Relatively High,Legacy Communities,Legacy Communities,146,N/A,N/A,Manufactured Housing,28.048313,-80.660326,,
"1550 North Main St Mansfield,TX 76063",Silver Leaf,TX-Silver Leaf-1550,"Tarrant, TX",Relatively High,Yes! Communities,Stockbridge Capital Group,145,2008,Fannie Mae,Manufactured Housing,32.586926,-97.157799,,
"2000 Maple Run Blvd Clio,MI 48420",Maple Run,MI-Maple Run-2000,"Genesee, MI",Relatively Moderate,RHP Properties (Brookfield),Brookfield Corporation,145,2017,No,Manufactured Housing,43.165288,-83.716975,,
"100 NE 6th Ave Homestead,FL 33030",Boardwalk RV Resort,FL-Boardwalk RV Resort-100,"Miami-Dade, FL",Very High,Riverstone Communities,Riverstone Capital Partners,145,2009,No,Manufactured Housing,25.4712,-80.467293,,
"4015 Tower Ave Superior,WI 54880",Homecroft,WI-Homecroft-4015,"Douglas, WI",Relatively Low,Open Management,Open Capital,145,N/A,Freddie Mac,Manufactured Housing,46.691107,-92.104646,,
"1267 Avenue A Springfield,MI 49037",Avenue A,MI-Avenue A-1267,"Calhoun, MI",Relatively Low,Cambio Communities,Silver Creek Capital,145,N/A,No,Manufactured Housing,42.326151,-85.252036,,
"10026 Horn Rd Sacramento,CA 95827",Colonial Estates,CA-Colonial Estates-10026,"Sacramento, CA",Relatively High,Hometown America,Calzada Capital Partners,144,2015,No,Manufactured Housing,38.576955,-121.319369,,
"26250 E 9th St Highland,CA 92346",Mobile Estates,CA-Mobile Estates-26250,"San Bernardino, CA",Very High,Inspire Communities,Apollo Global Management,144,2021,No,Manufactured Housing,34.115591,-117.231693,,
"199 Western Skies Rd Gallup,NM 87301",Western Skies,NM-Western Skies-199,"McKinley, NM",Relatively Low,Inspire Communities,Apollo Global Management,144,N/A,No,Manufactured Housing,35.50729,-108.807381,,
"3333 28th St SE Bothell,WA 98021",Canyon Park,WA-Canyon Park-3333,"King, WA",Very High,Crow Holdings,Crow Holdings Capital - Real Estate,144,2023,No,Manufactured Housing,47.455329,-122.198115,,
"3333 228th St SE Bothell,WA 98021",Canyon Mobile Park,WA-Canyon Mobile Park-3333,"Snohomish, WA",Relatively High,Crow Holdings,Crow Holdings Capital - Real Estate,144,2023,No,Manufactured Housing,47.792987,-122.189917,,
"20616 Orting Kapowsin Hwy E ,WA 98360",Deer Run Mobile Home Park,WA-Deer Run Mobile Home Park-20616,"Pierce, WA",Relatively High,The Carlyle Group,The Carlyle Group,144,N/A,N/A,Manufactured Housing,47.082112,-122.214289,,
"7148 W Arabian Way West Valley City,UT 84128",Western Estates,UT-Western Estates-7148,"Salt Lake, UT",Relatively High,RHP Properties (Brookfield),Brookfield Corporation,144,2017,N/A,Manufactured Housing,40.712196,-112.061906,,
"2993 Curtis St Des Plaines,IL 60018",Buckhorn Estates,IL-Buckhorn Estates-2993,"Cook, IL",Very High,Yes! Communities,Stockbridge Capital Group,143,2021,Freddie Mac,Manufactured Housing,41.999807,-87.879352,,
"200 Bodcau Loop Bossier City,LA 71112",Plantation Acres,LA-Plantation Acres-200,"Bossier, LA",Relatively Moderate,Inspire Communities,Apollo Global Management,143,2021,No,Manufactured Housing,32.447069,-93.597582,,
"103 Jeff St Berwick,IA 50032",Sunnybrook,IA-Sunnybrook-103,"Polk, IA",Relatively Moderate,Havenpark Communities,Havenpark Capital Partners,143,N/A,Fannie Mae,Manufactured Housing,41.670041,-93.546054,,
"175 N Michigan Ave Coldwater,MI 49036",Trail Tree Village,MI-Trail Tree Village-175,"Branch, MI",Relatively Low,Cambio Communities,Silver Creek Capital,143,N/A,No,Manufactured Housing,41.945866,-84.981061,,
